external_id,default_code,name,taxes_id,supplier_taxes_id
product.product_278,1490.3,SEMILLAS DE RICINO ,,
product.product_279,01490.30.1,SEMILLAS DE RICINO ,,
product.product_280,1490.31,OTRAS SEMILLAS DE RICINO ,,
product.product_281,1490.9,"SEMILLAS Y FRUTOS OLEAGINOSOS ACEITOSAS, N.C.P.: SEMILLA DE AMAPOLA (ADORMIDERA), KARITE, ETC.",,
product.product_282,01490.90.1,SEMILLAS DE FRUTOS OLEAGINOSOS VARIEDAD HIBRIDO(A),,
product.product_283,01490.90.2,SEMILLAS DE FRUTOS OLEAGINOSOS VARIEDAD PURA,,
product.product_284,1490.91,"OTRAS SEMILLAS Y FRUTOS OLEAGINOSOS ACEITOSAS, N.C.P.: SEMILLA DE AMAPOLA (ADORMIDERA), KARITE, ETC.",,
product.product_285,15,PLANTAS VIVAS, SEMILLAS DE FLORES Y FRUTOS, SEMILLAS DE VEGETALES
product.product_286,151,PLANTAS VIVAS, ESTACAS Y ESQUEJES, ESPORAS DE HONGOS
product.product_287,1510,"PLANTAS VIVAS; BULBOS, TUBERCULOS Y RAICES; ESTACAS Y ESQUEJES; ESPORAS DE HONGOS",,
product.product_288,1510,"BULBOS, TUBERCULOS Y RAICES TUBEROSAS, CEBOLLAS, BROTES Y RIZOMAS, EN REPOSO VEGETATIVO, EN CRECIMIENTO O EN FLOR, PLANTAS Y RAICES DE ACHICORIA",,
product.product_289,01510.00.1,"BULBOS, TUBERCULOS Y RAICES TUBEROSAS, CEBOLLAS, BROTES Y RIZOMAS, EN REPOSO VEGETATIVO, EN CRECIMIENTO O EN FLOR, PLANTAS Y RAICES DE ACHICORIA",,
product.product_290,1510.01,"OTRAS PLANTAS  (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS ",,
product.product_291,01510.01.1,"OTRAS PLANTAS  (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS ",,
product.product_292,1510.02,"ARBOLES, ARBUSTOS, MATAS DE ADORNO, VIVAS, RETONOS DE PLANTAS VIVOS, ESQUEJES DE ARBOLES FRUTALES, INJERTADOS O ARRAIGADOS O NO, ESTACAS DE  ARBOLES FRUTALES",,
product.product_293,01510.02.1,ARBOLES NO FRUTALES VIVOS,,
product.product_294,01510.02.2,ARBOLES FRUTALES VIVOS,,
product.product_295,1510.03,"PLANTAS ORNAMENTALES: RODODENDROS, AZALEAS, ROSALES, INCLUSO INJERTADOS",,
product.product_296,01510.03.1,"PLANTAS ORNAMENTALES: RODODENDROS, AZALEAS, ROSALES, INCLUSO INJERTADOS",,
